"Country.Code","City","Location","Latitude","Longitude","Pollutant","Source.Name","Unit","value","LastUpdated","Country.Label","Department","Region","Postal_Code"
"FR","Daix","Inconnu","47.3455999997954","5.00237700003608","O3","EEA France","µg/m³","83.40","2024-09-18 23:00:00","France","Côte-d'Or","Bourgogne-Franche-Comté","21121"
"FR","Gap","Inconnu","44.5486499998268","6.06723700034038","NO","EEA France","µg/m³","30.60","2024-09-16 08:00:00","France","Hautes-Alpes","Provence-Alpes-Côte d'Azur","05000"
"FR","Montargis","Market Chalette-Sur-Loing","48.0069349997759","2.7401109996672","NO","EEA France","µg/m³","25.30","2024-09-16 08:00:00","France","Loiret","Centre-Val de Loire","45200"
"FR","Valence","Square Lesdiguières","44.9335139996862","4.89348099976142","NO2","EEA France","µg/m³","17.70","2024-09-18 23:00:00","France","Drôme","Auvergne-Rhône-Alpes","26000"
"FR","Mâcon","Inconnu","46.3161740002279","4.83999399979789","PM10","EEA France","µg/m³","12.00","2022-12-23 01:00:00","France","Saône-et-Loire","Bourgogne-Franche-Comté","71000"
"FR","Bobigny","Inconnu","48.9025040001429","2.45250000026497","PM2.5","EEA France","µg/m³","27.30","2024-03-11 10:00:00","France","Seine-Saint-Denis","Île-de-France","93000"
"FR","Damparis","Inconnu","47.0656399997769","5.41502800007799","NO2","EEA France","µg/m³","16.40","2024-03-11 10:00:00","France","Jura","Bourgogne-Franche-Comté","39500"
"FR","La Coulonche","Inconnu","48.6450000001438","-0.458333000235777","O3","EEA France","µg/m³","81.30","2024-09-18 23:00:00","France","Orne","Normandie","61220"
"FR","Périgueux","Inconnu","45.1898229998141","0.72718400006274","NO2","EEA France","µg/m³","3.80","2024-09-18 23:00:00","France","Dordogne","Nouvelle-Aquitaine","24000"
"FR","Nancy","Inconnu","48.6881700000945","6.19043099990213","PM2.5","EEA France","µg/m³","15.00","2024-09-18 23:00:00","France","Meurthe-et-Moselle","Grand Est","54100"
"FR","Talence","Inconnu","44.8004599997874","-0.589397999689418","O3","EEA France","µg/m³","9.00","2024-09-18 23:00:00","France","Gironde","Nouvelle-Aquitaine","33400"
"FR","Montlhéry","Route","48.6409299998147","2.26872000042656","PM2.5","EEA France","µg/m³","14.70","2024-09-18 23:00:00","France","Essonne","Île-de-France","91310"
"FR","Mulhouse","École primaire Haut-Poirier","47.7374150002747","7.30907500027088","NO2","EEA France","µg/m³","24.80","2024-03-11 09:00:00","France","Haut-Rhin","Grand Est","68200"
