LastUpdated,Postal_Code,City,NO2,O3,PM10,PM2.5,Latitude,Longitude,Country.Label,Department,Region,Altitude Moyenne,Superficie,p16_pop,p17_pop,p18_pop,p19_pop,p20_pop,p21_pop,p24_pop
2024-01-29 18:00:00,6200,Nice,15.5,81.3,11.1,4.8,43.6860789340896,7.21194459549675,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,115.0,7391.0,342637.0,340017,341032.0,342669.0,343477.0,348085.0,342669.0
2024-09-16 08:00:00,6200,Nice,15.5,44.91422190459174,11.1,4.8,43.6892899998647,7.2420740002946,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,115.0,7391.0,342637.0,340017,341032.0,342669.0,343477.0,348085.0,342669.0
2024-09-18 23:00:00,6200,Nice,15.5,44.5,11.1,4.8,43.6851900000749,7.21117399998479,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,115.0,7391.0,342637.0,340017,341032.0,342669.0,343477.0,348085.0,342669.0
2024-01-29 18:00:00,6390,Contes,38.3,,47.0,,43.7933622306242,7.33139357882613,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,311.0,1950.0,7420.0,7424,7429.0,7437.0,7534.0,7544.0,947.0
2024-09-18 23:00:00,6390,Contes,6.3,,2.6,,43.7887499998263,7.33238199962482,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,311.0,1950.0,7420.0,7424,7429.0,7437.0,7534.0,7544.0,947.0
2024-09-18 23:00:00,6400,Cannes,23.8,31.9,10.3,6.1,43.5583879998064,7.00591899983004,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,41.0,2099.0,74152.0,73868,73965.0,74545.0,72435.0,73255.0,74545.0
2024-09-18 23:00:00,6440,Peillon,,,6.9,2.8,43.7865829996798,7.37328299968828,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,344.0,868.0,1470.0,1457,1462.0,1465.0,1465.0,1445.0,1657.0
2024-09-18 23:00:00,6440,Peillon,,,6.9,2.8,43.7865829996798,7.37328299968828,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,752.0,4275.0,2365.0,2376,2373.0,2370.0,2369.0,2287.0,1657.0
2024-01-29 18:00:00,6470,Beuil,,72.5,,,44.0883193867536,6.98917138818795,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,1793.0,7451.0,510.0,525,538.0,551.0,552.0,553.0,551.0
2024-09-18 23:00:00,6470,Beuil,,82.6,,,44.0946899996974,6.9889779997719,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,1793.0,7451.0,510.0,525,538.0,551.0,552.0,553.0,551.0
2024-01-29 18:00:00,6600,Antibes,33.7,57.8,,,43.5997495987433,7.094723434072,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,44.0,2699.0,73798.0,72999,72915.0,73438.0,74709.0,75130.0,73438.0
2024-03-11 08:00:00,6600,Antibes,35.9,18.8,,,43.5988040001327,7.09315300019062,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,44.0,2699.0,73798.0,72999,72915.0,73438.0,74709.0,75130.0,73438.0
2024-09-16 23:00:00,8000,Charleville-Mézières,7.8,64.5,8.6,,49.7452769999387,4.71916699992436,France,Ardennes,Grand Est,185.0,3177.0,46682.0,46428,46391.0,46436.0,46388.0,46398.0,886.0
2024-03-11 09:00:00,8500,Les Mazures,4.0,57.0,5.5,3.8,49.9077799999888,4.63000000024383,France,Ardennes,Grand Est,332.0,3643.0,915.0,903,890.0,885.0,878.0,867.0,210.0
2019-04-01 11:00:00,9100,Pamiers,,62.2,,,43.1143938634176,1.62259096509373,France,Ariège,Occitanie,312.0,4636.0,15688.0,15675,15603.0,15659.0,15938.0,16394.0,215.0
2023-01-09 14:00:00,10000,Troyes,5.7,,6.1,,48.3016660002666,4.07694400024531,France,Aube,Grand Est,109.0,1339.0,60640.0,61652,61996.0,61957.0,62597.0,62782.0,61957.0
2024-09-16 08:00:00,10300,Sainte-Savine,3.1,49.8,9.5,5.0,48.2950020002667,4.05027799971974,France,Aube,Grand Est,118.0,761.0,10301.0,10573,10409.0,10508.0,10496.0,10515.0,971.0
2024-09-16 23:00:00,10410,Saint-Parres-aux-Tertres,,63.6,,,48.2991679999448,4.11722199979461,France,Aube,Grand Est,113.0,1188.0,3116.0,3126,3136.0,3167.0,3179.0,3201.0,497.0
