Nom de la région,Code département,Nom de la commune,population_2016,Code INSEE
Nouvelle-Aquitaine,47,Allons,170.0,47007.0
Nouvelle-Aquitaine,47,Nicole,233.0,47196.0
Occitanie,48,Rousses,114.0,48130.0
Grand Est,51,Gaye,603.0,51265.0
Pays de la Loire,85,Bazoges-en-Paillers,1411.0,85013.0
Nouvelle-Aquitaine,86,Linazay,228.0,86134.0
Grand Est,88,Cornimont,3300.0,88116.0
Bourgogne-Franche-Comté,89,Monéteau,4074.0,89263.0
Centre-Val de Loire,28,Terminiers,930.0,28382.0
Occitanie,30,Parignargues,639.0,30193.0
Occitanie,31,Argut-Dessous,26.0,31015.0
Occitanie,31,Castelnau-d'Estrétefonds,6291.0,31118.0
Occitanie,32,Aux-Aussat,279.0,32020.0
Occitanie,32,Caumont,114.0,32093.0
Occitanie,32,Giscaro,96.0,32148.0
Occitanie,32,Manas-Bastanous,80.0,32226.0
Centre-Val de Loire,37,Azay-sur-Indre,393.0,37016.0
Occitanie,48,Massegros Causses Gorges,1004.0,48094.0
Grand Est,51,Clamanges,217.0,51154.0
Grand Est,51,Trigny,550.0,51582.0
Grand Est,52,Poinson-lès-Grancey,41.0,52395.0
Grand Est,54,Chenières,651.0,54127.0
Provence-Alpes-Côte d'Azur,13,Charleval,2755.0,13024.0
Auvergne-Rhône-Alpes,15,Saint-Chamant,244.0,15176.0
Nouvelle-Aquitaine,16,Bioussac,235.0,16044.0
Nouvelle-Aquitaine,16,Les Pins,477.0,16261.0
Nouvelle-Aquitaine,17,Arces,754.0,17015.0
Nouvelle-Aquitaine,17,Montlieu-la-Garde,1308.0,17243.0
Nouvelle-Aquitaine,19,Gourdon-Murat,113.0,19087.0
Nouvelle-Aquitaine,24,Pays de Belvès,1493.0,24035.0
Nouvelle-Aquitaine,24,Saint-Laurent-des-Hommes,1039.0,24436.0
Grand Est,55,Lavoye,153.0,55285.0
Bretagne,56,Landévant,3778.0,56097.0
Bretagne,56,Roudouallec,732.0,56199.0
Grand Est,57,Frémestroff,307.0,57237.0
Bourgogne-Franche-Comté,58,Mhère,232.0,58166.0
Hauts-de-France,59,Marquette-en-Ostrevant,1877.0,59387.0
Hauts-de-France,60,Saintines,1073.0,60578.0
Hauts-de-France,62,Denier,84.0,62266.0
Auvergne-Rhône-Alpes,63,Medeyrolles,116.0,63221.0
Nouvelle-Aquitaine,64,Gan,5633.0,64230.0
Grand Est,67,Fouday,349.0,67144.0
Grand Est,67,Wiwersheim,886.0,67548.0
Grand Est,68,Andolsheim,2245.0,68007.0
Grand Est,68,Niederentzen,722.0,68234.0
Bourgogne-Franche-Comté,70,Bussières,416.0,70107.0
Bourgogne-Franche-Comté,71,Loisy,660.0,71261.0
Pays de la Loire,72,Guécélard,3066.0,72146.0
Auvergne-Rhône-Alpes,74,Quintal,1272.0,74219.0
Île-de-France,78,Viroflay,16321.0,78686.0
Nouvelle-Aquitaine,86,Bonnes,1744.0,86031.0
Nouvelle-Aquitaine,86,Neuville-de-Poitou,5424.0,86177.0
Grand Est,88,Sandaucourt,182.0,88440.0
Île-de-France,91,Fontenay-le-Vicomte,1233.0,91244.0
Auvergne-Rhône-Alpes,01,Léaz,734.0,1209.0
Auvergne-Rhône-Alpes,01,Mézériat,2172.0,1246.0
Auvergne-Rhône-Alpes,03,Neuilly-en-Donjon,224.0,3196.0
Provence-Alpes-Côte d'Azur,06,Marie,107.0,6080.0
Grand Est,08,Vendresse,522.0,8469.0
Grand Est,10,Plessis-Barbuise,200.0,10291.0
Occitanie,11,Lézignan-Corbières,11509.0,11203.0
Occitanie,12,Brandonnet,336.0,12034.0
Normandie,14,Merville-Franceville-Plage,2218.0,14409.0
Nouvelle-Aquitaine,17,Bazauges,124.0,17035.0
Nouvelle-Aquitaine,17,Nuaillé-d'Aunis,1157.0,17267.0
Bourgogne-Franche-Comté,21,Vielverge,497.0,21680.0
Normandie,27,Bourg-Beaudouin,724.0,27104.0
Hauts-de-France,80,Estrébœuf,250.0,80287.0
Occitanie,82,Comberouger,291.0,82043.0
Pays de la Loire,85,Mouilleron-le-Captif,5022.0,85155.0
Provence-Alpes-Côte d'Azur,84,Grambois,1289.0,84052.0
Grand Est,88,Mandres-sur-Vair,586.0,88285.0
Bourgogne-Franche-Comté,89,Courlon-sur-Yonne,1234.0,89124.0
Bourgogne-Franche-Comté,89,Jouancy,24.0,89207.0
Île-de-France,95,Nesles-la-Vallée,1858.0,95446.0
Île-de-France,95,Saint-Witz,2497.0,95580.0
Bourgogne-Franche-Comté,25,Anteuil,680.0,25018.0
Auvergne-Rhône-Alpes,74,Cornier,1324.0,74090.0
Provence-Alpes-Côte d'Azur,06,La Trinité,10154.0,6149.0
Centre-Val de Loire,41,Saint-Georges-sur-Cher,2727.0,41211.0
Hauts-de-France,59,Lederzeele,682.0,59337.0
Hauts-de-France,62,Lillers,10162.0,62516.0
Auvergne-Rhône-Alpes,69,Le Perréon,1604.0,69151.0
